"lot_number","qc_name","analyte","concentration","unit","qc_type","manufacturer","cat_number","expiration_date","preparation_date","note"
"A00C0737","V-PLEX Proinfammatory P1 Mouse QC2 (M)","IL-6","192","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0737","V-PLEX Proinfammatory P1 Mouse QC2 (M)","KC/GRO","107","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0737","V-PLEX Proinfammatory P1 Mouse QC2 (M)","IL-10","334","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0737","V-PLEX Proinfammatory P1 Mouse QC2 (M)","IL-12p70","3340","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0737","V-PLEX Proinfammatory P1 Mouse QC2 (M)","TNF-a","29.6","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0738","V-PLEX Proinfammatory P1 Mouse QC3 (L)","IFN-g","2.25","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0738","V-PLEX Proinfammatory P1 Mouse QC3 (L)","IL-1b","4.37","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0738","V-PLEX Proinfammatory P1 Mouse QC3 (L)","IL-2","5.4","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0738","V-PLEX Proinfammatory P1 Mouse QC3 (L)","IL-4","14.4","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0738","V-PLEX Proinfammatory P1 Mouse QC3 (L)","IL-5","9.79","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0738","V-PLEX Proinfammatory P1 Mouse QC3 (L)","IL-6","27","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0738","V-PLEX Proinfammatory P1 Mouse QC3 (L)","KC/GRO","17.7","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0738","V-PLEX Proinfammatory P1 Mouse QC3 (L)","IL-10","99.4","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0738","V-PLEX Proinfammatory P1 Mouse QC3 (L)","IL-12p70","828","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0738","V-PLEX Proinfammatory P1 Mouse QC3 (L)","TNF-a","5.58","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0774","V-PLEX Cytokine P1 QC1 (H)","GM-CSF","447","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0774","V-PLEX Cytokine P1 QC1 (H)","IL-1a","173","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0774","V-PLEX Cytokine P1 QC1 (H)","IL-5","334","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0774","V-PLEX Cytokine P1 QC1 (H)","IL-7","348","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0774","V-PLEX Cytokine P1 QC1 (H)","IL-12/23p40","1240","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0774","V-PLEX Cytokine P1 QC1 (H)","IL-15","314","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0774","V-PLEX Cytokine P1 QC1 (H)","IL-16","1160","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0774","V-PLEX Cytokine P1 QC1 (H)","IL-17A","2650","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0774","V-PLEX Cytokine P1 QC1 (H)","TNF-b","250","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0774","V-PLEX Cytokine P1 QC1 (H)","VEGF","373","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0775","V-PLEX Cytokine P1 QC2 (M)","GM-CSF","70.5","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0775","V-PLEX Cytokine P1 QC2 (M)","IL-1a","56.1","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0775","V-PLEX Cytokine P1 QC2 (M)","IL-5","108","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0775","V-PLEX Cytokine P1 QC2 (M)","IL-7","55.8","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0775","V-PLEX Cytokine P1 QC2 (M)","IL-12/23p40","189","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0775","V-PLEX Cytokine P1 QC2 (M)","IL-15","45.6","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0775","V-PLEX Cytokine P1 QC2 (M)","IL-16","327","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0775","V-PLEX Cytokine P1 QC2 (M)","IL-17A","371","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0775","V-PLEX Cytokine P1 QC2 (M)","TNF-b","41.6","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0775","V-PLEX Cytokine P1 QC2 (M)","VEGF","126","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0776","V-PLEX Cytokine P1 QC3 (L)","GM-CSF","10.7","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0776","V-PLEX Cytokine P1 QC3 (L)","IL-1a","16","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0776","V-PLEX Cytokine P1 QC3 (L)","IL-5","34.5","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0776","V-PLEX Cytokine P1 QC3 (L)","IL-7","7.75","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
"A00C0776","V-PLEX Cytokine P1 QC3 (L)","IL-12/23p40","29.9","pg/ml","Purchased","Mesoscale","C4050-1","2026-04-30","",""
